csr_id,target,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,F153,F154,F155,F156,F157,F158,F159,F160,F161,F162,F163,F164,F165,F166,F167,F168,F169,F170,F171,F172,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F186,F187,F188,F189,F190,F191,F192,F193,F194,F195,F196,F197,F198,F199,F200,F201,F202,F203,F204,F205,F206,F207,F208,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F219,F220,F221,F222,F223,F224,F225,F226,F227,F228,F229,F230,F231,F232,F233,F234,F235,F236,F237,F238,F239,F240,F241,F242,F243,F244,F245,F246
2522,0,4,0,0,40,0,1,9,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,3,19,59,2,0,0,0,0,2,1,9,0,0,0,16,9,148,3,0,3,0,0,0,3,0,3,0,0,0,8,1,0,0,8,0,0,7,0,0,0,1,2,0,0,2,61,2,JIUDIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5485,0,6,0,0,11,1,4,1,3,0,0,0,1,0,0,0,0,0,0,0,0,4,50,0,0,0,0,4,21,0,0,0,0,0,8,0,31,0,34,0,7,2,120,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,46,94,2,xchen,M,34,,2,0,,无等级,0,1.241,0,0,-0.054,1.187,12.913,0,0,-0.161,12.752,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,,,,,,,,,,,
3787,0,8,0,1,18,3,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,10,0,0,0,0,0,0,0,5,0,1,0,18,26,212,0,1,23,0,0,0,1,0,1,0,0,0,41,0,0,42,3,0,0,0,2,0,0,0,0,0,0,47,54,2,xchen,F,26,,,0,,无等级,0,37.75,0,47.12,0,61.31,414.421,0,183.04,0,505.941,0,0,0,0,0,4623.76,4623.76,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,9000,0,0,9000,0,10902.71,10902.71,0,0,0,0,0,0,3,0,0,3,0,49,49,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7821.22,2,56080.49,22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
3295,0,45,6,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,11,1,0,1,1,0,0,0,0,0,10,2,0,0,0,0,0,5,106,1,0,,0,0,0,0,0,2,0,0,0,0,3,0,1,1,0,0,3,1,0,0,0,5,1,0,34,9,1,lvyou,F,45,,0,0,,无等级,0,6.372,0,0.636,5.774,12.464,368.412,0,565.788,14.366,665.672,0,0,0,0,24421.62,0,24421.62,603.8,13300,0,0,13903.8,0,0,0,0,0,9,0,9,1,2,0,0,0,3,0,3000,0,0,3000,387047.03,0,387047.03,603.8,421588.77,0,0,422192.57,0,1,0,0,1,27,0,27,1,10,0,0,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6753.23,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
7174,0,4,0,0,2,1,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,13,2,0,0,0,0,2,11,0,0,2,12,2,1,79,2,0,0,0,0,0,3,0,0,17,0,1,27,0,0,0,0,0,0,0,0,0,1,0,3,0,1,39,22,2,feiji,M,34,,,0,,无等级,0,0,0,0,140.092,140.092,0,0,0,4003.009,4003.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
1921,0,8,0,0,13,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0,0,0,31,6,0,,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,7,2,lvyou,F,39,,,0,,无等级,0,0.126,0,0,0,0.126,0.922,0,0,0,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
5952,0,2,0,0,45,24,18,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,27,23,1,0,0,0,0,6,0,0,0,32,15,18,4,126,32,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,47,1,feiji,M,31,,0,0,,无等级,0,0.001,0,0,0,0.001,0.992,0,0,0,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
9118,0,0,0,0,1,10,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,3,0,12,18,90,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,2,feiji,F,46,,0,0,,无等级,0,0.01,0,0,743.017,743.027,0.11,0,0,5478.897,5479.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
7719,0,1,0,0,34,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,0,0,0,0,0,1,0,1,0,10,0,91,8,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,8,0,0,0,1,0,0,0,0,0,0,37,23,2,tielu,M,31,,1,0,,无等级,0,8.025,0,-0.74,0,7.655,17.333,0,-11.34,0,11.663,1000,0,0,1000,6504.1,0,6504.1,0,0,0,0,0,0,1,0,0,1,11,0,11,0,0,0,0,0,0,0,5000,0,0,5000,14531.1,0,14531.1,0,0,0,0,0,0,3,0,0,3,20,0,20,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7134.84,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
9972,0,0,0,0,28,0,23,34,21,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,3,0,0,21,15,25,0,0,0,0,17,2,0,0,47,0,2,0,154,34,0,1,0,0,0,2,3,0,0,17,3,3,38,0,0,2,0,1,0,1,0,0,1,0,1,0,5,104,1,feiji,M,29,,,0,,无等级,0,0.039,0,0,0,0.039,0.424,0,0,0,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
